movie	Harry Potter and the Deathly Hallows: Part 2	2011
actor	Friel, Paschal	Harry Potter and the Goblet of Fire	2005	Death Eater
actor	Gambon, Michael	Harry Potter and the Goblet of Fire	2005	Albus Dumbledore
actor	Gleeson, Brendan	Harry Potter and the Goblet of Fire	2005	Professor Alastor 'Mad�Eye' Moody
actor	Graham, Campbell	Harry Potter and the Goblet of Fire	2005	Ministry Wizard
actor	Greenwood, Jonny	Harry Potter and the Goblet of Fire	2005	Band Lead Guitar
actor	Grint, Rupert	Harry Potter and the Goblet of Fire	2005	Ron Weasley
actor	Hardy, Robert	Harry Potter and the Goblet of Fire	2005	Cornelius Fudge
actor	Artus, Ashley	Harry Potter and the Goblet of Fire	2005	Death Eater
actor	Bjelac, Predrag	Harry Potter and the Goblet of Fire	2005	Igor Karkaroff
actor	Bradley, David	Harry Potter and the Goblet of Fire	2005	Argus Filch
actor	Buckle, Jason	Harry Potter and the Goblet of Fire	2005	Band Rhythm Guitar
actor	Claydon, Steve	Harry Potter and the Goblet of Fire	2005	Band Keyboards
actor	Cocker, Jarvis	Harry Potter and the Goblet of Fire	2005	Band Lead Singer
actor	Coltrane, Robbie	Harry Potter and the Goblet of Fire	2005	Rubeus Hagrid
actor	Davis, Warwick	Harry Potter and the Goblet of Fire	2005	Filius Flitwick
actor	Doyle, Louis	Harry Potter and the Goblet of Fire	2005	Ernie MacMillan
actor	Herdman, Josh	Harry Potter and the Goblet of Fire	2005	Gregory Goyle
actor	Ianevski, Stanislav	Harry Potter and the Goblet of Fire	2005	Viktor Krum
actor	Isaacs, Jason	Harry Potter and the Goblet of Fire	2005	Lucius Malfoy
movie	Harry Potter and the Half-Blood Prince	2009
director	Yates, David	Harry Potter and the Half-Blood Prince	2009
actress	Laughland, Isabella	Harry Potter and the Half-Blood Prince	2009	Leanne
actress	Leonidas, Georgina	Harry Potter and the Half-Blood Prince	2009	Katie Bell
actress	Leung, Katie	Harry Potter and the Half-Blood Prince	2009	Cho Chang
actress	Lynch, Evanna	Harry Potter and the Half-Blood Prince	2009	Luna Lovegood
actress	McCrory, Helen	Harry Potter and the Half-Blood Prince	2009	Narcissa Malfoy
actress	Tena, Natalia	Harry Potter and the Half-Blood Prince	2009	Nymphadora Tonks
actress	Toase, Suzanne	Harry Potter and the Half-Blood Prince	2009	Alecto
actress	Walters, Julie	Harry Potter and the Half-Blood Prince	2009	Molly Weasley
actress	Watson, Emma	Harry Potter and the Half-Blood Prince	2009	Hermione Granger
actress	Wildi, Caroline	Harry Potter and the Half-Blood Prince	2009	Female Inferi
actress	Wright, Bonnie	Harry Potter and the Half-Blood Prince	2009	Ginny Weasley
actress	Shaffer, Anna	Harry Potter and the Half-Blood Prince	2009	Romilda Vane
actress	Smith, Maggie	Harry Potter and the Half-Blood Prince	2009	Professor Minerva McGonagall
actress	Somerville, Geraldine	Harry Potter and the Half-Blood Prince	2009	Lily Potter
actress	Evans, Amber	Harry Potter and the Half-Blood Prince	2009	Twin Girl 1
actress	Evans, Ruby	Harry Potter and the Half-Blood Prince	2009	Twin Girl 2
actress	Johnson, Elarica	Harry Potter and the Half-Blood Prince	2009	Waitress
actress	Jones, Gemma	Harry Potter and the Half-Blood Prince	2009	Madam Pomfrey
actress	Azad, Afshan	Harry Potter and the Half-Blood Prince	2009	Padma Patil
actress	Bonham Carter, Helena	Harry Potter and the Half-Blood Prince	2009	Bellatrix Lestrange
actress	Brown, Amelda	Harry Potter and the Half-Blood Prince	2009	Mrs. Cole
actress	Byrne, Scarlett	Harry Potter and the Half-Blood Prince	2009	Pansy Parkinson
actress	Cave, Jessie	Harry Potter and the Half-Blood Prince	2009	Lavender Brown
actress	Chowdhury, Shefali	Harry Potter and the Half-Blood Prince	2009	Parvati Patil
actor	Legeno, Dave	Harry Potter and the Half-Blood Prince	2009	Fenrir Greyback
actor	Lewis, Matthew	Harry Potter and the Half-Blood Prince	2009	Neville Longbottom
actor	Lockyer, Mark	Harry Potter and the Half-Blood Prince	2009	Waiter
actor	Melling, William	Harry Potter and the Half-Blood Prince	2009	Nigel
actor	Murray, Devon	Harry Potter and the Half-Blood Prince	2009	Seamus Finnigan
actor	Phelps, James	Harry Potter and the Half-Blood Prince	2009	Fred Weasley
actor	Phelps, Oliver	Harry Potter and the Half-Blood Prince	2009	George Weasley
actor	Pryor, Jack	Harry Potter and the Half-Blood Prince	2009	Skinny Kid
actor	Radcliffe, Daniel	Harry Potter and the Half-Blood Prince	2009	Harry Potter
actor	Stroma, Freddie	Harry Potter and the Half-Blood Prince	2009	Cormac McLaggen
actor	Thewlis, David	Harry Potter and the Half-Blood Prince	2009	Remus Lupin
actor	Virgil, Ashley	Harry Potter and the Half-Blood Prince	2009	Ritchie Coote
actor	Waylett, Jamie	Harry Potter and the Half-Blood Prince	2009	Vincent Crabbe
actor	Williams, Mark	Harry Potter and the Half-Blood Prince	2009	Arthur Weasley
